time(ms),error signal,control signal,feedback signal
2991,5.68434e-14,255,255
2995,5.68434e-14,255,255
2999,5.68434e-14,255,255
3003,5.68434e-14,255,255
3007,5.68434e-14,255,255
3011,5.68434e-14,255,255
3015,5.68434e-14,255,255
3019,5.68434e-14,255,255
3023,5.68434e-14,255,255
3027,5.68434e-14,255,255
3031,5.68434e-14,255,255
3035,5.68434e-14,255,255
3039,5.68434e-14,255,255
3043,5.68434e-14,255,255
3047,5.68434e-14,255,255
3051,5.68434e-14,255,255
3055,5.68434e-14,255,255
3059,5.68434e-14,255,255
3063,5.68434e-14,255,255
3067,5.68434e-14,255,255
3071,5.68434e-14,255,255
3075,5.68434e-14,255,255
3079,5.68434e-14,255,255
3083,5.68434e-14,255,255
3087,5.68434e-14,255,255
3091,5.68434e-14,255,255
3095,5.68434e-14,255,255
3099,5.68434e-14,255,255
3103,5.68434e-14,255,255
3107,5.68434e-14,255,255
3111,5.68434e-14,255,255
3115,5.68434e-14,255,255
3119,5.68434e-14,255,255
3123,5.68434e-14,255,255
3127,5.68434e-14,255,255
3131,5.68434e-14,255,255
3135,5.68434e-14,255,255
3139,5.68434e-14,255,255
3143,5.68434e-14,255,255
3147,5.68434e-14,255,255
3151,5.68434e-14,255,255
3155,5.68434e-14,255,255
3159,5.68434e-14,255,255
3163,5.68434e-14,255,255
3167,5.68434e-14,255,255
3171,5.68434e-14,255,255
3176,5.68434e-14,255,255
3180,5.68434e-14,255,255
3184,5.68434e-14,255,255
3188,5.68434e-14,255,255
3192,5.68434e-14,255,255
3196,5.68434e-14,255,255
3200,5.68434e-14,255,255
3204,5.68434e-14,255,255
3208,5.68434e-14,255,255
3212,5.68434e-14,255,255
3216,5.68434e-14,255,255
3220,5.68434e-14,255,255
3224,5.68434e-14,255,255
3228,5.68434e-14,255,255
3232,5.68434e-14,255,255
3236,5.68434e-14,255,255
3240,5.68434e-14,255,255
3244,5.68434e-14,255,255
3248,5.68434e-14,255,255
3252,5.68434e-14,255,255
3256,5.68434e-14,255,255
3260,5.68434e-14,255,255
3264,5.68434e-14,255,255
3268,5.68434e-14,255,255
3270,5.68434e-14,255,255
3274,5.68434e-14,255,255
3278,5.68434e-14,255,255
3281,5.68434e-14,255,255
3284,5.68434e-14,255,255
3288,5.68434e-14,255,255
3292,5.68434e-14,255,255
3296,5.68434e-14,255,255
3300,5.68434e-14,255,255
3304,5.68434e-14,255,255
3308,5.68434e-14,255,255
3312,5.68434e-14,255,255
3316,5.68434e-14,255,255
3320,5.68434e-14,255,255
3324,5.68434e-14,255,255
3328,5.68434e-14,255,255
3332,5.68434e-14,255,255
3336,5.68434e-14,255,255
3340,5.68434e-14,255,255
3345,5.68434e-14,255,255
3348,5.68434e-14,255,255
3352,5.68434e-14,255,255
3356,5.68434e-14,255,255
3360,5.68434e-14,255,255
3364,5.68434e-14,255,255
3368,5.68434e-14,255,255
3372,5.68434e-14,255,255
3376,5.68434e-14,255,255
3380,5.68434e-14,255,255
3384,5.68434e-14,255,255
3388,5.68434e-14,255,255
3392,5.68434e-14,255,255
3396,5.68434e-14,255,255
3400,5.68434e-14,255,255
3404,5.68434e-14,255,255
3408,5.68434e-14,255,255
3412,5.68434e-14,255,255
3416,5.68434e-14,255,255
3420,5.68434e-14,255,255
3425,5.68434e-14,255,255
3429,5.68434e-14,255,255
3433,5.68434e-14,255,255
3437,5.68434e-14,255,255
3441,5.68434e-14,255,255
3445,5.68434e-14,255,255
3449,5.68434e-14,255,255
3453,5.68434e-14,255,255
3457,5.68434e-14,255,255
3461,5.68434e-14,255,255
3465,5.68434e-14,255,255
3469,5.68434e-14,255,255
3473,5.68434e-14,255,255
3477,5.68434e-14,255,255
3481,5.68434e-14,255,255
3485,5.68434e-14,255,255
3489,5.68434e-14,255,255
3493,5.68434e-14,255,255
3497,5.68434e-14,255,255
3501,5.68434e-14,255,255
3505,5.68434e-14,255,255
3509,5.68434e-14,255,255
3513,5.68434e-14,255,255
3517,5.68434e-14,255,255
3521,5.68434e-14,255,255
3525,5.68434e-14,255,255
3529,5.68434e-14,255,255
3533,5.68434e-14,255,255
3537,5.68434e-14,255,255
3541,5.68434e-14,255,255
3545,5.68434e-14,255,255
3549,5.68434e-14,255,255
3553,5.68434e-14,255,255
3557,5.68434e-14,255,255
3561,5.68434e-14,255,255
3565,5.68434e-14,255,255
3569,5.68434e-14,255,255
3573,5.68434e-14,255,255
3577,5.68434e-14,255,255
3581,5.68434e-14,255,255
3585,5.68434e-14,255,255
3589,5.68434e-14,255,255
3593,5.68434e-14,255,255
3597,5.68434e-14,255,255
3601,5.68434e-14,255,255
3605,5.68434e-14,255,255
3609,5.68434e-14,255,255
3613,5.68434e-14,255,255
3617,5.68434e-14,255,255
3621,5.68434e-14,255,255
3625,5.68434e-14,255,255
3629,5.68434e-14,255,255
3633,5.68434e-14,255,255
3637,5.68434e-14,255,255
3641,5.68434e-14,255,255
3645,5.68434e-14,255,255
3649,5.68434e-14,255,255
3653,5.68434e-14,255,255
3657,5.68434e-14,255,255
3661,5.68434e-14,255,255
3665,5.68434e-14,255,255
3669,5.68434e-14,255,255
3673,5.68434e-14,255,255
3677,5.68434e-14,255,255
3681,5.68434e-14,255,255
3685,5.68434e-14,255,255
3689,5.68434e-14,255,255
3693,5.68434e-14,255,255
3697,5.68434e-14,255,255
3701,5.68434e-14,255,255
3705,5.68434e-14,255,255
3709,5.68434e-14,255,255
3713,5.68434e-14,255,255
3717,5.68434e-14,255,255
3721,5.68434e-14,255,255
3725,5.68434e-14,255,255
3729,5.68434e-14,255,255
3733,5.68434e-14,255,255
3737,5.68434e-14,255,255
3741,5.68434e-14,255,255
